run_id,original_record_id,error_category,pipeline_stage,error_details,timestamp,order_id,order_date,region,product,quantity,revenue
9b97209e,13,DATA_QUALITY_ISSUE,VALIDATION,Missing region,2026-02-02 00:24:05.476579,ORD000014,2025-04-07 23:59:45.645053,,Cola 500ml,39,14490.45
9b97209e,14,BUSINESS_RULE_VIOLATION,VALIDATION,Negative revenue: -291.54; Invalid quantity: -2,2026-02-02 00:24:05.476765,ORD000015,2025-09-15 23:59:45.645053,East,Mango Juice 1L,-2,-291.54
9b97209e,21,DATA_FORMAT_ERROR,VALIDATION,Missing order date,2026-02-02 00:24:05.476853,ORD000022,,South,Mango Juice 1L,9,3983.58
9b97209e,47,DATA_FORMAT_ERROR,VALIDATION,Missing order date,2026-02-02 00:24:05.476928,ORD000048,,Central,Cheese Spread 100g,34,16468.58
9b97209e,50,BUSINESS_RULE_VIOLATION,VALIDATION,Negative revenue: -16309.3,2026-02-02 00:24:05.477025,ORD000051,2025-08-07 23:59:45.645053,East,Yogurt 500g,35,-16309.3
9b97209e,58,DATA_FORMAT_ERROR,VALIDATION,Missing order date,2026-02-02 00:24:05.477092,ORD000059,,West,Tomato Ketchup 500g,50,7548.999999999999
9b97209e,67,DATA_FORMAT_ERROR,VALIDATION,Invalid date format,2026-02-02 00:24:05.477150,ORD000068,invalid_date,East,Yogurt 500g,22,8802.64
9b97209e,69,DATA_FORMAT_ERROR,VALIDATION,Invalid date format,2026-02-02 00:24:05.477208,ORD000070,invalid_date,North,Chicken Biryani Ready Meal,40,12747.2
9b97209e,70,DATA_QUALITY_ISSUE,VALIDATION,Missing region,2026-02-02 00:24:05.477275,ORD000071,2026-01-25 23:59:45.645053,,Potato Chips 50g,18,3904.74
9b97209e,72,DATA_QUALITY_ISSUE,VALIDATION,Missing region,2026-02-02 00:24:05.477328,ORD000073,2025-05-05 23:59:45.645053,,Tomato Ketchup 500g,44,21135.4
9b97209e,86,DATA_QUALITY_ISSUE,VALIDATION,Missing region,2026-02-02 00:24:05.477380,ORD000087,2025-10-07 23:59:45.645053,,Tomato Ketchup 500g,49,22470.91
9b97209e,96,DATA_QUALITY_ISSUE,VALIDATION,Missing region,2026-02-02 00:24:05.477431,ORD000097,2025-06-06 23:59:45.645053,,Potato Chips 50g,17,5657.09
9b97209e,103,DATA_FORMAT_ERROR,VALIDATION,Missing order date,2026-02-02 00:24:05.477479,ORD000104,,Central,Biscuits 200g,28,2074.8
